Length,Category
659,Died
689,Died
702,Died
703,Died
709,Died
713,Died
720,Died
720,Died
726,Died
726,Died
729,Died
731,Died
736,Died
737,Died
738,Died
738,Died
739,Died
743,Died
744,Died
745,Died
752,Died
752,Died
754,Died
765,Died
687,Survived
703,Survived
709,Survived
715,Survived
721,Survived
723,Survived
723,Survived
726,Survived
728,Survived
728,Survived
728,Survived
729,Survived
730,Survived
730,Survived
733,Survived
733,Survived
735,Survived
736,Survived
739,Survived
741,Survived
741,Survived
741,Survived
741,Survived
743,Survived
749,Survived
751,Survived
752,Survived
752,Survived
755,Survived
756,Survived
766,Survived
767,Survived
769,Survived
770,Survived
780,Survived
